Alcohol,Rating
14.23,A
13.2,A
13.16,A
14.37,A
13.24,A
14.2,A
14.39,A
14.06,A
14.83,A
13.86,A
14.1,A
14.12,A
13.75,A
14.75,A
14.38,A
13.63,A
14.3,A
13.83,A
14.19,A
13.64,A
14.06,A
12.93,A
13.71,A
12.85,A
13.5,A
13.05,A
13.39,A
13.3,A
13.87,A
14.02,A
13.73,A
13.58,A
13.68,A
13.76,A
13.51,A
13.48,A
13.28,A
13.05,A
13.07,A
14.22,A
13.56,A
13.41,A
13.88,A
13.24,A
13.05,A
14.21,A
14.38,A
13.9,A
14.1,A
13.94,A
13.05,A
13.83,A
13.82,A
13.77,A
13.74,A
13.56,A
14.22,A
13.29,A
13.72,A
12.37,B
12.33,B
12.64,B
13.67,B
12.37,B
12.17,B
12.37,B
13.11,B
12.37,B
13.34,B
12.21,B
12.29,B
13.86,B
13.49,B
12.99,B
11.96,B
11.66,B
13.03,B
11.84,B
12.33,B
12.7,B
12,B
12.72,B
12.08,B
13.05,B
11.84,B
12.67,B
12.16,B
11.65,B
11.64,B
12.08,B
12.08,B
12,B
12.69,B
12.29,B
11.62,B
12.47,B
11.81,B
12.29,B
12.37,B
12.29,B
12.08,B
12.6,B
12.34,B
11.82,B
12.51,B
12.42,B
12.25,B
12.72,B
12.22,B
11.61,B
11.46,B
12.52,B
11.76,B
11.41,B
12.08,B
11.03,B
11.82,B
12.42,B
12.77,B
12,B
11.45,B
11.56,B
12.42,B
13.05,B
11.87,B
12.07,B
12.43,B
11.79,B
12.37,B
12.04,B
12.86,B
12.88,B
12.81,B
12.7,B
12.51,B
12.6,B
12.25,B
12.53,B
13.49,B
12.84,B
12.93,B
13.36,B
13.52,B
13.62,B
12.25,B
13.16,B
13.88,B
12.87,B
13.32,B
13.08,B
13.5,B
12.79,B
13.11,B
13.23,B
12.58,B
13.17,B
13.84,B
12.45,B
14.34,B
13.48,B
12.36,B
13.69,B
12.85,B
12.96,B
13.78,B
13.73,B
13.45,B
12.82,B
13.58,B
13.4,B
12.2,B
12.77,B
14.16,B
13.71,B
13.4,B
13.27,B
13.17,B
14.13,B